Product,End of Marketing (EOM) Date,End of Service (EOS) Date
AR161,2021-06-30,2026-06-30
AR161EW-M1,2018-09-30,2023-12-31
AR161F-DGP,2019-06-30,2024-06-30
AR157W,2017-12-31,2022-12-31
AR158EVW,2017-12-31,2022-12-31
AR161EW,2019-12-31,2024-12-31
AR161F,2019-12-31,2024-12-31
AR161FG-L,2019-12-31,2024-12-31
AR161FG-Lc,2018-06-30,2021-12-31
AR161FGW-La,2019-12-31,2024-12-31
AR161FV-1P,2019-06-30,2024-06-30
AR161FW-P-M5,2017-09-30,2023-06-30
AR161G-Lc,2021-06-30,2026-06-30
AR161FGW-L,2019-12-31,2024-12-31
AR161FGW-Lc,2018-06-30,2021-12-31
AR161FW,2019-12-31,2024-12-31
AR161G-L,2021-06-30,2026-06-30
AR161G-U,2018-06-30,2021-12-31
AR161W,2021-06-30,2026-06-30
AR168F,2019-12-31,2024-12-31
AR169,2021-06-30,2026-06-30
AR169CVW,2018-06-30,2021-12-31
AR169EGW-L,2019-12-31,2024-12-31
AR162F,2018-06-30,2023-06-30
AR168F-4P,2019-06-30,2024-06-30
AR169-P-M9,2017-06-30,2022-06-30
AR169CVW-4B4S,2018-06-30,2023-06-30
AR169EW,2019-12-31,2024-12-31
AR169F,2019-12-31,2024-12-31
AR169FGW-L,2019-12-31,2024-12-31
AR169FVW-8S,2019-06-30,2024-06-30
AR169JFVW-2S,2019-12-31,2024-12-31
AR169RW-P-M9,2018-12-31,2023-12-31
AR169FGVW-L,2018-09-30,2023-12-31
AR169FVW,2019-12-31,2024-12-31
AR169G-L,2021-06-30,2026-06-30
AR169JFVW-4B4S,2019-12-31,2024-12-31
AR169W,2021-06-30,2026-06-30
AR169W-P-M9,2019-12-31,2024-12-31
AR201V,2019-06-30,2024-06-30
AR206,2014-06-30,2020-06-30
AR207G-HSPA-7,2017-06-30,2022-06-30
AR207V-P,2014-06-30,2020-06-30
AR201,2018-12-31,2023-12-31
AR201VW-P,2014-06-30,2022-12-31
AR207,2018-12-31,2023-12-31
AR207V,2018-12-31,2023-12-31
AR207VW,2014-06-30,2022-12-31
AR208E,2017-06-30,2022-06-30
AR-CORE-220E,2023-12-31,2028-12-31
EC Core-L-1,2020-12-31,2025-12-31
Agile Controller-IoT,Not announced,Not announced
AR502CG-L,2021-06-30,2026-06-30
AR502EG-L-PD,2019-12-31,2024-12-31
AR502EG-Lj,2021-12-31,2026-12-31
AR502EGRz-L,2019-12-31,2024-12-31
AR502EGW-L,2019-12-31,2024-12-31
AR502EG-L,2021-06-30,2026-06-30
AR502EG-La,2019-12-31,2024-12-31
AR502EGRc-Lc,2019-12-31,2024-12-31
AR502EGRz-Lc,2019-12-31,2024-12-31
AR502G-L-D-H,2017-06-30,2022-06-30
AR502GR-L-D-H,2017-09-30,2022-06-30
AR502H-5G,Not announced,Not announced
AR503EDGW-Lc3,2018-06-30,2023-06-30
AR503EW,2018-12-31,2023-12-31
AR503GW-LcM7,2018-12-31,2023-12-31
AR502H,Not announced,Not announced
AR503EDGW-Lc,2018-12-31,2023-12-31
AR503EQGW-L,2018-12-31,2023-12-31
AR503GW-LM7,2018-12-31,2023-12-31
AR503GW-Lo,2018-12-31,2023-12-31
AR503HGW-L,2018-12-31,2023-12-31
AR509CG-Lc,2023-12-31,2028-12-31
AR509CG-Lt-7,2018-06-30,2023-06-30
AR509G-L-D-H,2021-06-30,2026-06-30
AR509GW-L-D-H,2018-12-31,2023-12-31
AR503HGW-Lc,2018-12-31,2023-12-31
AR509CG-Lt,2019-12-31,2024-12-31
AR509CGW-L,2019-12-31,2024-12-31
AR509G-Lc,2017-09-30,2023-06-30
AR511CGW-LAV2M3,2017-09-30,2020-12-31
AR511EGW-LcAV2,2018-12-31,2023-12-31
AR511GW-LAV2M3,2018-12-31,2020-12-31
AR513GW-LcV1,2018-12-31,2023-12-31
AR513W-V3M8,2017-09-30,2020-12-31
AR531-F2C-H,2015-12-31,2018-12-31
AR511GW-L-B3,2016-12-31,2021-12-31
AR511GW-LM7,2016-12-31,2020-12-31
AR513W-V1,2018-12-31,2023-12-31
AR531-2C-H,2019-06-30,2024-06-30
AR531G-U-D-H,2015-12-31,2018-12-31
AR531GPe-U-H,2017-09-30,2023-06-30
AR550-24FE-D-H,2019-12-31,2024-12-31
AR550C-2C6GE,2021-06-30,2026-06-30
AR550C-4GE,2021-06-30,2026-06-30
AR531GR-U-H,2015-12-31,2018-12-31
AR550-8FE-D-H,2019-12-31,2024-12-31
AR550C-2C6GE-2D,2021-06-30,2026-06-30
AR550E,2019-12-31,2024-12-31

